dt,school_referral_program,social_media_influencers,marketing_channel_a,marketing_channel_b,covid
2018-03-02,189.5002838,4.60758577,3159.128539,8.23287216,0
2018-03-03,195.9007333,12.74768327,3026.677991,13.2232146,0
2018-03-04,130.1807277,18.13446207,7052.380178,16.55649573,0
2018-03-05,174.8760362,1.627265446,27.13018461,3.370007417,0
2018-03-06,139.9260025,2.146253529,146.1690995,3.649186694,0
2018-03-07,154.6825004,1.8484229,64.20400795,2.350262179,0
2018-03-08,111.9547799,6.935008049,4364.207245,7.089627294,0
2018-03-09,205.0291858,11.90304066,3449.18706,11.07722452,0
2018-03-10,151.0146755,16.55024263,5818.86225,18.53753931,0
2018-03-11,152.1774582,2.138479967,885.0755624,2.246829203,0
2018-03-12,142.2645616,2.007079594,4.854137461,3.853169108,0
2018-03-13,108.339432,3.006959691,890.8817831,2.203309328,0
2018-03-14,155.4095622,6.152610407,2553.184908,8.182422984,0
2018-03-15,125.3583241,15.05368878,2709.87944,13.06314937,0
2018-03-16,100.6763164,17.23452296,13532.65525,15.02882882,0
2018-03-17,146.7147251,3.186513984,667.6048229,2.301286196,0
2018-03-18,225.5920403,2.287212273,45.44589361,2.91798409,0
2018-03-19,131.0397815,1.750750581,312.4413849,2.08135149,0
2018-03-20,148.5596744,7.624277228,2953.850608,6.807509724,0
2018-03-21,139.8288578,14.59801801,1110.138644,10.29913982,0
2018-03-22,104.298284,17.54662494,12144.23995,15.85977354,0
2018-03-23,176.6871456,1.803682237,476.2251341,2.55349202,0
2018-03-24,175.3237822,2.174645536,959.8453513,2.711242104,0
2018-03-25,101.376871,1.148185504,59.11806931,1.704746676,0
2018-03-26,116.8544431,9.036975224,9798.972538,4.34604136,0
2018-03-27,190.5801286,16.8969082,3040.709729,11.66089634,0
2018-03-28,92.60822808,20.94252158,3055.33598,16.11394518,0
2018-03-29,195.7773104,1.893797956,5.974460205,2.598918493,0
2018-03-30,159.5393018,2.135635335,162.6746229,2.739695747,0
2018-03-31,155.7514577,0.6277441493,128.0143477,1.913456541,0
2018-04-01,200.2514729,8.730868235,461.364632,4.726706195,0
2018-04-02,251.20742,16.61106426,3674.61534,12.61022741,0
2018-04-03,219.0110464,18.49800102,15844.44509,15.82634208,0
2018-04-04,198.9053521,1.188001543,0.2258018396,3.335504866,0
2018-04-05,149.6573768,1.633830734,496.075732,2.449770951,0
2018-04-06,82.62806785,1.080493321,69.87797576,1.94462534,0
2018-04-07,115.7322435,9.518216163,1707.824883,6.005833936,0
2018-04-08,204.690486,15.26385431,21362.72769,11.70328583,0
2018-04-09,113.5702005,17.98063032,8191.988096,18.07166673,0
2018-04-10,116.30896,0.9485569102,41.63992242,2.050659374,0
2018-04-11,201.9540204,1.496036468,115.3479794,3.305497807,0
2018-04-12,181.6542127,0.2447698325,443.2604541,1.812606403,0
2018-04-13,205.838269,9.80660011,17073.15971,6.864534497,0
2018-04-14,151.5170743,19.49907965,3952.313898,13.17057226,0
2018-04-15,144.7991869,23.56468368,2870.340794,14.7584122,0
2018-04-16,176.675448,0.8532697731,393.3843799,3.281236524,0
2018-04-17,233.019676,1.343124268,114.6900801,2.979447414,0
2018-04-18,176.1344963,0.5234062777,412.8822343,1.808769383,0
2018-04-19,167.8540041,9.201875054,1453.372341,6.500369453,0
2018-04-20,167.0482458,20.10371555,7354.947558,12.23316425,0
2018-04-21,109.8877277,21.73030194,2870.586884,18.67800379,0
2018-04-22,122.4813096,1.445595185,1273.189523,3.639730184,0
2018-04-23,131.3947736,0.7296939713,291.4892228,3.550430988,0
2018-04-24,139.6318671,0.3087054017,36.6458623,2.015489161,0
2018-04-25,158.3850651,10.46326873,13134.28544,7.696317226,0
2018-04-26,165.4833164,18.28194906,3139.773466,13.35754274,0
2018-04-27,109.0598801,25.51153247,9344.894268,17.2416116,0
2018-04-28,170.2003792,0.7178767653,931.1005283,2.598918935,0
2018-04-29,149.9987062,1.309652912,139.3865637,3.0905909,0
2018-04-30,148.5959706,0.3791204885,1033.884056,2.375576164,0
2018-05-01,216.4681805,13.64999145,5642.495837,8.463966668,0
2018-05-02,112.4497042,22.71458126,8524.770021,10.53840572,0
2018-05-03,109.8779683,25.67589103,617.5690483,13.53615189,0
2018-05-04,117.6001356,0.4935600719,0.1231448422,2.130037397,0
2018-05-05,157.9516619,0.7611574802,44.87807188,3.106297937,0
2018-05-06,135.8078589,0.04265584312,357.6256492,2.875136741,0
2018-05-07,202.6225328,12.17488497,2676.247908,6.35431223,0
2018-05-08,153.2305565,19.37852418,6474.627972,11.04223677,0
2018-05-09,114.6986739,26.33009994,12937.03962,16.87336192,0
2018-05-10,151.3016411,0.9839395901,134.3675856,3.052333618,0
2018-05-11,124.2114076,0.634170798,184.0225314,2.126379533,0
2018-05-12,140.8280308,0.134187938,440.6249444,2.719915764,0
2018-05-13,116.7841851,13.51360508,574.3863922,5.069629879,0
2018-05-14,166.18866,22.06329093,18186.09663,12.14860535,0
2018-05-15,204.8280739,25.97057176,5482.944858,13.63504466,0
2018-05-16,166.5685831,0.3509966999,86.93795073,2.326391903,0
2018-05-17,94.3105895,0.3540006407,9.313324955,3.319836186,0
2018-05-18,120.314775,0.01228653653,78.3095317,2.166106037,0
2018-05-19,144.3322775,12.23667155,2897.467726,6.922591439,0
2018-05-20,148.5470544,20.8266425,341.9053235,10.60144744,0
2018-05-21,161.1835796,22.20404499,974.1805028,18.58923833,0
2018-05-22,136.6044303,0.2553312915,43.74507767,3.095943141,0
2018-05-23,143.7529775,1.069959237,0.8221115899,2.32949615,0
2018-05-24,136.6200261,0.01442324646,13.40280554,2.212626531,0
2018-05-25,179.2146559,13.96673134,5272.365433,6.027859635,0
2018-05-26,159.290306,22.3129432,7875.400083,13.2784497,0
2018-05-27,153.0313515,27.66151962,4606.299442,16.11944708,0
2018-05-28,220.7124996,0.1251300163,224.7459991,2.439359287,0
2018-05-29,151.772848,0.3643935481,682.6625713,3.351066156,0
2018-05-30,135.0674179,0.003314218915,94.38361497,2.801620987,0
2018-05-31,139.0021373,16.25089811,21809.40016,8.258746939,0
2018-06-01,204.3205836,23.89667834,4952.557925,11.57860122,0
2018-06-02,166.1800157,27.43158217,5587.574944,16.19129817,0
2018-06-03,144.307362,0.560284242,82.94722318,2.510878159,0
2018-06-04,151.9911918,0.3652784684,194.6332615,3.383765325,0
2018-06-05,158.7481485,0.09416336345,1867.946973,2.193991534,0
2018-06-06,135.530407,17.20699544,2410.647158,6.235311844,0
2018-06-07,84.94185091,25.89854169,9224.4019,11.41682453,0
2018-06-08,155.8804619,29.55518551,947.0749096,15.08378504,0
2018-06-09,222.1703035,0.148794946,98.52262244,4.108687524,0
2018-06-10,146.2156555,0.2655388921,27.96758928,4.580963937,0
2018-06-11,143.6300931,0.006718063269,6.83366227,2.36314764,0
2018-06-12,147.9760062,18.50423499,1997.265401,7.472836268,0
2018-06-13,112.8399536,26.07945796,1998.136057,11.40970219,0
2018-06-14,110.2426955,30.16543658,4166.586009,14.15198727,0
2018-06-15,143.4750464,0.003215622039,8.04733232,2.414452742,0
2018-06-16,157.0517098,0.003382708597,436.2067799,3.067509227,0
2018-06-17,218.5610927,0.02040971802,22.61347586,1.646136402,0
2018-06-18,175.1931999,16.23258221,4461.549121,4.883783994,0
2018-06-19,200.9031196,25.92636277,5101.703791,11.66597486,0
2018-06-20,148.1496828,38.19011872,34543.29077,14.70463967,0
2018-06-21,186.1222733,0.07579093175,5.09997055,2.275129761,0
2018-06-22,211.2260415,0.002940769174,167.2317825,3.080826713,0
2018-06-23,128.1027228,0.03032814861,3.676686671,1.871813024,0
2018-06-24,146.3224462,15.66808958,2076.248566,5.156077882,0
2018-06-25,180.2592064,31.65426943,11936.60868,11.81823421,0
2018-06-26,223.2706867,34.13367039,3084.833456,15.3278978,0
2018-06-27,172.4972386,0.2740091274,6.231544465,2.970294834,0
2018-06-28,121.2445185,0.07372740701,NA,4.038364267,0
2018-06-29,131.5954737,0.003556372548,149.9710398,2.628522431,0
2018-06-30,192.8160299,18.82053602,1375.356381,8.245397814,0
2018-07-01,153.7055514,27.78565547,12229.75543,14.65473541,0
2018-07-02,120.3300917,35.37375087,4333.146842,12.89036581,0
2018-07-03,160.4051878,0.1857880831,145.8156065,1.647637277,0
2018-07-04,183.2053809,0.002870291835,272.7570056,3.585060427,0
2018-07-05,127.3035689,0.6319712939,40.32824599,2.495332145,0
2018-07-06,145.7929578,21.13739898,6544.644164,4.057081436,0
2018-07-07,153.0370259,35.04093379,15001.56031,14.11486272,0
2018-07-08,160.3652925,33.95201937,17401.11103,17.28662302,0
2018-07-09,183.2902307,0.2411980294,145.2939933,2.696783513,0
2018-07-10,181.611027,0.3760504621,1.718414276,2.724360867,0
2018-07-11,118.0673421,0.4283302687,8.83780073,1.564535794,0
2018-07-12,154.5917689,23.81830292,1582.023684,5.204799124,0
2018-07-13,175.5947129,29.74753633,3914.689919,11.74978883,0
2018-07-14,157.4117384,35.69452505,6043.433052,15.52439726,0
2018-07-15,178.3337128,0.07448320767,NA,3.823433497,0
2018-07-16,189.0305068,0.007400912198,20.00658077,3.749709693,0
2018-07-17,145.0058203,0.1714071608,0.281546739,1.784903311,0
2018-07-18,148.0565491,20.59614532,4456.590963,4.612017957,0
2018-07-19,148.8664375,32.54612979,21285.85868,11.58336892,0
2018-07-20,149.13989,36.54519434,2440.394368,14.49055039,0
2018-07-21,169.5045393,0.5612508453,22.01497962,3.272039408,0
2018-07-22,153.1535411,0.02474555888,3.322900628,2.447790525,0
2018-07-23,196.364572,0.9257318787,111.8811998,1.335559098,0
2018-07-24,141.0439885,19.80878289,9365.415199,6.877553946,0
2018-07-25,179.7120743,33.58582673,7651.244966,16.43590641,0
2018-07-26,138.4402686,41.75290951,6612.365919,16.21442326,0
2018-07-27,123.2681077,0.3536115282,0.002710190206,2.160345543,0
2018-07-28,117.1680482,0.262662992,21.00764961,4.541043996,0
2018-07-29,160.7039672,0.4761129719,168.9933333,2.167160168,0
2018-07-30,129.0698525,25.67810937,5260.363555,5.358692562,0
2018-07-31,224.1402199,36.35937668,9356.481046,11.44184041,0
2018-08-01,145.0753078,39.45623271,6939.091277,16.30524283,0
2018-08-02,101.1248443,0.2523948854,15.04865824,2.309619474,0
2018-08-03,145.6939323,0.02431958735,NA,2.818831997,0
2018-08-04,173.3727201,0.6333280997,0.3730469191,2.024639071,0
2018-08-05,148.8792585,22.93044225,2164.719853,4.738151034,0
2018-08-06,152.612099,33.80759254,3761.207884,10.89049199,0
